[DEBUG] 2015-07-20 01:48:23.023 	 [AI] Specimen 1000034 starting simulation.
[DEBUG] 2015-07-20 01:48:23.037 	 [AI] Specimen 1000034 finished simulation.
[DEBUG] 2015-07-20 01:48:23.037 	 [AI] Specimen 1000035 starting simulation.
[DEBUG] 2015-07-20 01:48:23.052 	 [AI] Specimen 1000035 finished simulation.
[DEBUG] 2015-07-20 01:48:23.052 	 [AI] Specimen 1000036 starting simulation.
[DEBUG] 2015-07-20 01:48:23.071 	 [AI] Specimen 1000036 finished simulation.
[DEBUG] 2015-07-20 01:48:23.071 	 [AI] Specimen 1000037 starting simulation.
[DEBUG] 2015-07-20 01:48:23.092 	 [AI] Specimen 1000037 finished simulation.
[DEBUG] 2015-07-20 01:48:23.092 	 [AI] Specimen 1000038 starting simulation.
[DEBUG] 2015-07-20 01:48:23.119 	 [AI] Specimen 1000038 finished simulation.
[DEBUG] 2015-07-20 01:48:23.119 	 [AI] Specimen 1000039 starting simulation.
[DEBUG] 2015-07-20 01:48:23.132 	 [AI] Specimen 1000039 finished simulation.
[DEBUG] 2015-07-20 01:48:23.133 	 [AI] Specimen 1000040 starting simulation.
[DEBUG] 2015-07-20 01:48:23.136 	 [AI] Specimen 1000040 finished simulation.
[DEBUG] 2015-07-20 01:48:23.136 	 [AI] Generation 1 finished processing simulations.
[DEBUG] 2015-07-20 01:48:23.139 	 [AI] Generation 1 successfully evaluated.
[DEBUG] 2015-07-20 01:48:23.139 	 [AI] Generation: #1 Best specimen: ID [1000026] evaluation = -996 values: 9/9/4
[DEBUG] 2015-07-20 01:48:29.141 	 Main window log posted. [[AI] Creating new generation.]
[DEBUG] 2015-07-20 01:48:29.141 	 [AI] Creating new generation.
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000041] evaluation = 0 values: 5/5/2
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 0 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000042] evaluation = 0 values: 5/7/3
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 1 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000043] evaluation = 0 values: 9/7/3
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 2 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000044] evaluation = 0 values: 9/7/4
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 3 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000045] evaluation = 0 values: 9/9/4
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 4 created
